,Id,v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,escolari,rez_esc,hhsize,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,paredzinc,paredfibras,paredother,pisomoscer,pisocemento,pisoother,pisonatur,pisonotiene,pisomadera,techozinc,techoentrepiso,techocane,techootro,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,planpri,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,sanitario6,energcocinar1,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu4,elimbasu5,elimbasu6,epared1,epared2,epared3,etecho1,etecho2,etecho3,eviv1,eviv2,eviv3,dis,male,female,estadocivil1,estadocivil2,estadocivil3,estadocivil4,estadocivil5,estadocivil6,estadocivil7,parentesco1,parentesco2,parentesco3,parentesco4,parentesco5,parentesco6,parentesco7,parentesco8,parentesco9,parentesco10,parentesco11,parentesco12,idhogar,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,edjefe,edjefa,meaneduc,instlevel1,instlevel2,instlevel3,instlevel4,instlevel5,instlevel6,instlevel7,instlevel8,instlevel9,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,mobilephone,qmobilephone,Central,Chorotega,Paci­fico Central,Brunca,Huetar Atlantica,Huetar Norte,area1,area2,age,SQBescolari,SQBage,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,agesq,Target,region,imputed_rent,mean_per_capita_income,per_capita_rent,mobilephone_per_capita,computer_per_capita,tablet_per_capita,yrs_edu_lost,asset_owned,water_provision,sanitario_type,electricity_source,cooking_energy,education_level,wall_material,housing_situation,wall_status,floor_material,floor_status,roof_material,roof_status,marital_status,rubbish_disposal
2090,ID_35fd44937,110000.0,0,6,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,15,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ef055dda9,1,2,0,3,.5,0,15,21.5,0,0,0,0,0,0,0,1,0,2,1.5,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,43,225,1849,9,0,1,2.25,0.25,462.25,1849,4.0,Central,0.0,0.0,63508.52961085884,0.3333333333333333,0.0,0.3333333333333333,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,"own, paying in installments",good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2093,ID_9617c2554,170000.0,0,5,0,1,1,0,0.0,0,1,1,0,3,3,0,4,4,4,4,12,0.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,f2058cc58,1,3,0,4,.33333334,0,12,14.0,0,0,0,0,0,0,1,0,0,3,1.3333334,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,59,144,3481,16,0,1,1.7777778999999998,0.11111112,196.0,3481,4.0,Central,170000.0,85000.0,85000.0,0.25,0.0,0.0,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",2,complete technical secondary level,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,widow/er,tanker truck
2097,ID_f90fffb9e,150000.0,0,3,0,1,1,0,0.0,0,0,0,0,1,1,0,1,1,1,1,11,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7c1cfa65c,0,1,0,1,0,0,11,11.0,0,0,0,0,1,0,0,0,0,1,1.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,53,121,2809,1,0,0,1.0,0.0,121.0,2809,4.0,Central,0.0,0.0,150000.0,1.0,0.0,0.0,0.0,2,1,3,"CNFL, ICE, ESPH/JASEC",2,complete academic secondary level,block or brick,"own, paying in installments",good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,single,tanker truck
2100,ID_9a70571e2,170000.0,0,9,0,1,1,0,0.0,0,3,3,0,1,1,0,4,4,4,4,17,0.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7abf70d41,0,4,0,4,0,17,0,14.75,0,0,0,0,0,0,0,0,1,4,1.0,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,0,62,289,3844,16,289,0,1.0,0.0,217.5625,3844,4.0,Central,170000.0,85000.0,85000.0,0.25,0.0,0.0,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",2,postgraduate higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,other,good,divorced,tanker truck
2103,ID_56af66fb4,170000.0,0,6,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,15,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,c79658388,0,2,2,2,8,0,15,15.0,0,0,0,0,0,0,0,1,0,2,1.0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,76,225,5776,4,0,0,1.0,64.0,225.0,5776,4.0,Central,170000.0,120208.15280171308,120208.15280171308,0.5,0.0,0.0,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,regular,married,tanker truck
2106,ID_55b588ef5,170000.0,0,4,0,1,1,1,1.0,0,1,1,0,2,2,0,3,3,3,3,6,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,543d9f716,0,3,2,3,2,6,0,6.3333335,0,0,1,0,0,0,0,0,0,2,1.5,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,68,36,4624,9,36,0,2.25,4.0,40.111115000000005,4624,4.0,Central,170000.0,98149.54576223639,98149.54576223639,0.3333333333333333,0.0,0.3333333333333333,0.0,4,1,2,"CNFL, ICE, ESPH/JASEC",2,complete primary,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2107,ID_c767c5f0b,75000.0,0,4,0,1,1,0,0.0,0,0,0,1,1,2,1,1,2,2,2,3,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,b63ab76f6,1,1,0,2,1.19406028376239,0,3,3.0,0,1,0,0,0,0,0,0,0,2,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,42,9,1764,4,0,1,1.0,1.0,9.0,1764,3.0,Central,0.0,0.0,53033.00858899106,0.0,0.0,0.0,0.0,1,1,2,"CNFL, ICE, ESPH/JASEC",3,incomplete primary,block or brick,rented,regular,wood,regular,metal foil or zinc,regular,separated,tanker truck
2109,ID_28ea17f9e,180000.0,0,4,0,1,1,0,0.0,0,1,1,0,0,0,0,1,1,1,1,12,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0c975d1f4,0,1,0,1,0,12,0,12.0,0,0,0,0,0,0,0,1,0,3,0.33333334,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,46,144,2116,1,144,0,0.11111112,0.0,144.0,2116,4.0,Central,0.0,0.0,180000.0,1.0,0.0,0.0,0.0,2,1,2,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,rented,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,divorced,tanker truck
2110,ID_5714bc36a,170000.0,0,6,0,1,1,1,3.0,0,2,2,2,1,3,2,3,5,5,5,15,0.0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3f4b210d1,2,3,1,5,1.5,15,0,14.333332999999998,0,0,0,0,0,0,0,1,0,3,1.6666666,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,42,225,1764,25,225,4,2.7777777,2.25,205.44444,1764,4.0,Central,170000.0,76026.31123499284,76026.31123499284,0.2,0.0,0.2,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2116,ID_7e0d6711b,170000.0,0,9,0,1,1,1,2.0,0,2,2,0,3,3,0,5,5,4,5,17,0.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,d2be86808,1,3,0,4,.33333334,17,0,19.0,0,0,0,0,0,0,0,0,1,6,0.83333331,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,62,289,3844,16,289,1,0.69444442,0.11111112,361.0,3844,4.0,Central,170000.0,76026.31123499284,76026.31123499284,0.2,0.0,0.2,0.0,3,1,3,"CNFL, ICE, ESPH/JASEC",2,postgraduate higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2119,ID_9164f82c3,140000.0,0,4,0,1,1,0,0.0,0,1,1,0,2,2,0,3,3,3,3,5,0.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,e79dc8321,0,3,0,3,0,5,0,4.3333335,0,1,0,0,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,36,25,1296,9,25,0,1.0,0.0,18.777779,1296,4.0,Central,0.0,0.0,80829.03768654761,0.3333333333333333,0.0,0.0,0.0,2,1,3,"CNFL, ICE, ESPH/JASEC",3,incomplete primary,prefabricated or cement,rented,regular,cement,regular,metal foil or zinc,regular,unknown,tanker truck
2123,ID_4033b647e,170000.0,0,4,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,3,9,0.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,892ec8ee9,0,3,0,3,0,9,0,13.0,0,0,0,1,0,0,0,0,0,2,1.5,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,1,0,57,81,3249,9,81,0,2.25,0.0,169.0,3249,4.0,Central,0.0,0.0,98149.54576223639,0.3333333333333333,0.0,0.3333333333333333,0.0,4,1,2,"CNFL, ICE, ESPH/JASEC",2,incomplete academic secondary level,wood,"other (assigned, borrowed)",bad,wood,bad,metal foil or zinc,bad,married,tanker truck
2125,ID_a0e0161bb,170000.0,0,7,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,15,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8efaf2f8f,0,2,2,2,8,15,0,10.5,0,0,0,0,0,0,0,1,0,4,0.5,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,81,225,6561,4,225,0,0.25,64.0,110.25,6561,4.0,Central,170000.0,120208.15280171308,120208.15280171308,0.5,0.0,0.0,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,own and fully paid,good,wood,good,metal foil or zinc,regular,married,tanker truck
2128,ID_202e503ed,170000.0,0,6,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,17,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,eed62c757,0,2,2,2,8,17,0,17.0,0,0,0,0,0,0,0,1,0,3,0.66666669,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,79,289,6241,4,289,0,0.44444448,64.0,289.0,6241,4.0,Central,170000.0,120208.15280171308,120208.15280171308,0.5,0.0,0.0,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2129,ID_61eef54d3,450000.0,0,6,0,1,1,0,0.0,0,0,0,0,3,3,0,3,3,3,3,19,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,03d27346e,0,3,0,3,0,0,19,14.333332999999998,0,0,0,0,0,0,0,0,1,3,1.0,0,0,1,0,0,1,0,1,3,1,0,0,0,0,0,1,0,50,361,2500,9,0,0,1.0,0.0,205.44444,2500,4.0,Central,0.0,0.0,259807.6211353316,0.3333333333333333,0.3333333333333333,0.0,0.0,3,1,3,"CNFL, ICE, ESPH/JASEC",2,postgraduate higher education,block or brick,rented,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,divorced,tanker truck
2132,ID_5b39ae2ac,170000.0,0,8,0,1,1,1,2.0,0,1,1,0,1,1,0,2,2,2,2,15,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48957c58d,0,2,0,2,0,15,0,15.5,0,0,0,0,0,0,0,1,0,3,0.66666669,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,33,225,1089,4,225,0,0.44444448,0.0,240.25,1089,4.0,Central,170000.0,120208.15280171308,120208.15280171308,0.5,0.0,0.5,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",3,undergraduate and higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2135,ID_de6191c9f,170000.0,0,8,0,1,1,1,1.0,0,1,1,0,1,1,0,2,2,2,2,17,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,e0731c084,0,2,2,2,8,17,0,16.0,0,0,0,0,0,0,0,0,1,4,0.5,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,70,289,4900,4,289,0,0.25,64.0,256.0,4900,4.0,Central,170000.0,120208.15280171308,120208.15280171308,0.5,0.0,0.5,0.0,4,1,2,"CNFL, ICE, ESPH/JASEC",2,postgraduate higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2137,ID_45a11fd90,170000.0,0,6,0,1,1,0,0.0,0,1,1,0,2,2,0,3,3,2,3,15,0.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8a0a13ade,0,2,0,2,0,15,0,15.0,0,0,0,0,0,0,0,1,0,3,1.0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,64,225,4096,4,225,0,1.0,0.0,225.0,4096,4.0,Central,170000.0,98149.54576223639,98149.54576223639,0.3333333333333333,0.0,0.0,0.0,2,1,3,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2140,ID_518340606,170000.0,0,8,0,1,1,1,2.0,0,3,3,0,0,0,0,3,3,3,3,20,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8ef280e3a,0,3,1,3,.5,20,0,15.333332999999998,0,0,0,0,0,0,0,0,1,4,0.75,1,0,0,0,0,1,0,1,4,1,0,0,0,0,0,1,0,78,400,6084,9,400,0,0.5625,0.25,235.1111,6084,4.0,Central,170000.0,98149.54576223639,98149.54576223639,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,4,1,2,"CNFL, ICE, ESPH/JASEC",2,postgraduate higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,separated,tanker truck
2143,ID_d1a8bd90e,170000.0,0,5,0,1,1,1,1.0,1,3,4,0,1,1,1,4,5,5,5,9,0.0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9072e914b,1,4,0,5,.25,0,9,9.25,0,0,0,0,0,1,0,0,0,3,1.6666666,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,51,81,2601,25,0,1,2.7777777,0.0625,85.5625,2601,4.0,Central,170000.0,76026.31123499284,76026.31123499284,0.2,0.0,0.2,1.0,3,1,2,"CNFL, ICE, ESPH/JASEC",3,incomplete technical secondary level,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,regular,married,tanker truck
2151,ID_3c1e0bfd7,80000.0,0,5,0,1,0,1,3.0,2,0,2,1,3,4,3,3,6,6,6,8,0.0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,cd4c4442b,3,3,0,6,1.19406028376239,0,8,6.666666499999999,0,0,0,1,0,0,0,0,0,3,2.0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,43,64,1849,36,0,9,4.0,1.0,44.444443,1849,1.0,Central,80000.0,32659.863237109043,32659.863237109043,0.16666666666666666,0.0,0.16666666666666666,0.0,2,1,2,"CNFL, ICE, ESPH/JASEC",3,incomplete academic secondary level,block or brick,own and fully paid,bad,"mosaic, ceramic, terrazo",regular,metal foil or zinc,bad,single,tanker truck
2153,ID_10a7a98d4,170000.0,0,6,0,1,1,0,0.0,0,2,2,0,1,1,0,3,3,2,3,17,0.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,c80e2a8b6,0,2,1,2,1.19406028376239,17,0,14.0,0,0,0,0,0,0,0,1,0,3,1.0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,93,289,8649,4,289,0,1.0,1.0,196.0,8649,4.0,Central,170000.0,98149.54576223639,98149.54576223639,0.3333333333333333,0.0,0.0,0.0,2,1,3,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,"socket (wood, zinc or asbestos)",own and fully paid,good,wood,good,metal foil or zinc,good,single,tanker truck
2154,ID_7e4b07dba,170000.0,0,5,0,1,1,0,0.0,0,0,0,0,1,1,0,1,1,1,1,6,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3a0127383,0,1,1,1,8,0,6,6.0,0,0,1,0,0,0,0,0,0,2,0.5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,67,36,4489,1,0,0,0.25,64.0,36.0,4489,4.0,Central,170000.0,170000.0,170000.0,1.0,0.0,0.0,0.0,2,1,2,"CNFL, ICE, ESPH/JASEC",2,complete primary,prefabricated or cement,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,widow/er,tanker truck
2155,ID_8517e8644,170000.0,0,4,0,1,1,0,0.0,0,0,0,0,1,1,0,1,1,1,1,6,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,e94821dc9,0,1,1,1,8,0,6,6.0,0,0,1,0,0,0,0,0,0,4,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,70,36,4900,1,0,0,0.0625,64.0,36.0,4900,4.0,Central,0.0,0.0,170000.0,0.0,0.0,0.0,0.0,1,1,3,"CNFL, ICE, ESPH/JASEC",2,complete primary,wood,"other (assigned, borrowed)",regular,wood,good,metal foil or zinc,regular,single,tanker truck
2159,ID_42f063253,170000.0,0,6,0,1,1,0,0.0,0,1,1,0,4,4,0,5,5,5,5,6,0.0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28a3c6627,0,5,0,5,0,6,0,8.3999996,0,0,1,0,0,0,0,0,0,4,1.25,1,0,0,0,0,0,1,1,5,1,0,0,0,0,0,1,0,52,36,2704,25,36,0,1.5625,0.0,70.55999,2704,4.0,Central,170000.0,76026.31123499284,76026.31123499284,0.2,0.0,0.0,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",3,complete primary,block or brick,own and fully paid,regular,"mosaic, ceramic, terrazo",good,metal foil or zinc,regular,married,tanker truck
2161,ID_73a332a02,170000.0,0,8,0,1,1,1,1.0,0,2,2,0,1,1,0,3,3,3,8,9,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4ef06e74a,0,3,0,3,0,9,0,7.0,0,0,0,1,0,0,0,0,0,5,1.6,0,0,0,1,0,0,1,1,5,1,0,0,0,0,0,1,0,59,81,3481,9,81,0,2.5600002,0.0,49.0,3481,4.0,Central,0.0,0.0,60104.07640085654,0.125,0.0,0.125,0.0,4,1,3,"CNFL, ICE, ESPH/JASEC",2,incomplete academic secondary level,waste material,precarious,bad,unknown,bad,unknown,bad,married,tanker truck
2164,ID_bac04150a,170000.0,0,9,0,1,1,1,2.0,0,2,2,0,1,1,0,3,3,3,3,17,0.0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0250e0b59,0,3,2,3,2,17,0,17.333334,0,0,0,0,0,0,0,1,0,5,0.60000002,1,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,0,79,289,6241,9,289,0,0.36000001,4.0,300.44446,6241,4.0,Central,170000.0,98149.54576223639,98149.54576223639,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,5,1,2,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
2170,ID_fb2c7c7ba,170000.0,0,8,0,1,1,1,2.0,0,2,2,0,2,2,0,4,4,4,4,14,0.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bebdfc6ee,0,4,0,4,0,14,0,13.75,0,0,0,0,0,0,0,1,0,4,1.0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,60,196,3600,16,196,0,1.0,0.0,189.0625,3600,4.0,Central,170000.0,85000.0,85000.0,0.25,0.0,0.25,0.0,3,1,2,"CNFL, ICE, ESPH/JASEC",2,undergraduate and higher education,block or brick,own and fully paid,good,"mosaic, ceramic, terrazo",good,metal foil or zinc,good,married,tanker truck
